Genotype	Merge_A	Merge_B
12836_1	MCRGD043_CKDL200167244-1a-D706-AK1682_HMHFTDSXY_L4	MCRGD055_CKDL200167244-1a-D707-AK1545_HMHFTDSXY_L4
12836_10	MCRGD021_CKDL200167244-1a-DY0088-AK1543_HMHFTDSXY_L4	MCRGD078_CKDL200167244-1a-D710-AK1544_HMHFTDSXY_L4
12836_16	MCRGD014_CKDL200167244-1a-D702-AK1544_HMHFTDSXY_L4	MCRGD077_CKDL200167244-1a-D710-AK1543_HMHFTDSXY_L4
12836_9	MCRGD033_CKDL200167244-1a-D705-AK1680_HMHFTDSXY_L4	MCRGD040_CKDL200167244-1a-D705-AK1546_HMHFTDSXY_L4
25558_1	MCRGD046_CKDL200167244-1a-D706-AK1544_HMHFTDSXY_L4	MCRGD080_CKDL200167244-1a-D710-AK1546_HMHFTDSXY_L4
25558_2	MCRGD012_CKDL200167244-1a-D702-AK1780_HMHFTDSXY_L4	MCRGD050_CKDL200167244-1a-D707-AK1681_HMHFTDSXY_L4
25558_3	MCRGD047_CKDL200167244-1a-D706-AK1545_HMHFTDSXY_L4	MCRGD074_CKDL200167244-1a-D710-AK1681_HMHFTDSXY_L4
25558_4	MCRGD015_CKDL200167244-1a-D702-AK1545_HMHFTDSXY_L4	MCRGD026_CKDL200167244-1a-D704-AK1681_HMHFTDSXY_L4
25558_5	MCRGD042_CKDL200167244-1a-D706-AK1681_HMHFTDSXY_L4	MCRGD070_CKDL200167244-1a-D709-AK1544_HMHFTDSXY_L4
25560_1	MCRGD056_CKDL200167244-1a-D707-AK1546_HMHFTDSXY_L4	MCRGD073_CKDL200167244-1a-D710-AK1680_HMHFTDSXY_L4
25560_2	MCRGD038_CKDL200167244-1a-D705-AK1544_HMHFTDSXY_L4	MCRGD090_CKDL200167244-1a-D712-AK1681_HMHFTDSXY_L4
25560_3	MCRGD091_CKDL200167244-1a-D712-AK1682_HMHFTDSXY_L4	MCRGD093_CKDL200167244-1a-D712-AK1543_HMHFTDSXY_L4
25560_4	MCRGD002_CKDL200167244-1a-D701-AK1681_HMHFTDSXY_L4	MCRGD059_CKDL200167244-1a-D708-AK1682_HMHFTDSXY_L4
25560_5	MCRGD018_CKDL200167244-1a-DY0088-AK1681_HMHFTDSXY_L4	MCRGD058_CKDL200167244-1a-D708-AK1681_HMHFTDSXY_L4
25560_6	MCRGD010_CKDL200167244-1a-D702-AK1681_HMHFTDSXY_L4	MCRGD085_CKDL200167244-1a-D711-AK1543_HMHFTDSXY_L4
25560_3	MCRGD011_CKDL200167244-1a-D702-AK1682_HMHFTDSXY_L4	MCRGD049_CKDL200167244-1a-D707-AK1680_HMHFTDSXY_L4
25612_4	MCRGD045_CKDL200167244-1a-D706-AK1543_HMHFTDSXY_L4	MCRGD057_CKDL200167244-1a-D708-AK1680_HMHFTDSXY_L4
25612_8	MCRGD009_CKDL200167244-1a-D702-AK1680_HMHFTDSXY_L4	MCRGD087_CKDL200167244-1a-D711-AK1545_HMHFTDSXY_L4
25614_1	MCRGD005_CKDL200167244-1a-D701-AK1543_HMHFTDSXY_L4	MCRGD041_CKDL200167244-1a-D706-AK1680_HMHFTDSXY_L4
25614_11	MCRGD030_CKDL200167244-1a-D704-AK1544_HMHFTDSXY_L4	MCRGD086_CKDL200167244-1a-D711-AK1544_HMHFTDSXY_L4
25614_13	MCRGD013_CKDL200167244-1a-D702-AK1543_HMHFTDSXY_L4	MCRGD034_CKDL200167244-1a-D705-AK1681_HMHFTDSXY_L4
25614_2	MCRGD003_CKDL200167244-1a-D701-AK1682_HMHFTDSXY_L4	MCRGD067_CKDL200167244-1a-D709-AK1682_HMHFTDSXY_L4
25614_4	MCRGD001_CKDL200167244-1a-D701-AK1680_HMHFTDSXY_L4	MCRGD023_CKDL200167244-1a-DY0088-AK1545_HMHFTDSXY_L4
25614_5	MCRGD024_CKDL200167244-1a-DY0088-AK1546_HMHFTDSXY_L4	MCRGD054_CKDL200167244-1a-D707-AK1544_HMHFTDSXY_L4
25614_6	MCRGD052_CKDL200167244-1a-D707-AK1780_HMHFTDSXY_L4	MCRGD092_CKDL200167244-1a-D712-AK1780_HMHFTDSXY_L4
25614_7	MCRGD017_CKDL200167244-1a-DY0088-AK1680_HMHFTDSXY_L4	MCRGD063_CKDL200167244-1a-D708-AK1545_HMHFTDSXY_L4
25615_2	MCRGD028_CKDL200167244-1a-D704-AK1780_HMHFTDSXY_L4	MCRGD084_CKDL200167244-1a-D711-AK1780_HMHFTDSXY_L4
25615_3	MCRGD031_CKDL200167244-1a-D704-AK1545_HMHFTDSXY_L4	MCRGD076_CKDL200167244-1a-D710-AK1780_HMHFTDSXY_L4
25615_4	MCRGD020_CKDL200167244-1a-DY0088-AK1780_HMHFTDSXY_L4	MCRGD044_CKDL200167244-1a-D706-AK1780_HMHFTDSXY_L4
25615_6	MCRGD088_CKDL200167244-1a-D711-AK1546_HMHFTDSXY_L4	MCRGD095_CKDL200167244-1a-D712-AK1546_HMHFTDSXY_L4
25615_8	MCRGD048_CKDL200167244-1a-D706-AK1546_HMHFTDSXY_L4	MCRGD062_CKDL200167244-1a-D708-AK1544_HMHFTDSXY_L4
25615_9	MCRGD064_CKDL200167244-1a-D708-AK1546_HMHFTDSXY_L4	MCRGD094_CKDL200167244-1a-D712-AK1545_HMHFTDSXY_L4
25618_10	MCRGD004_CKDL200167244-1a-D701-AK1780_HMHFTDSXY_L4	MCRGD025_CKDL200167244-1a-D704-AK1680_HMHFTDSXY_L4
25618_11	MCRGD053_CKDL200167244-1a-D707-AK1543_HMHFTDSXY_L4	MCRGD068_CKDL200167244-1a-D709-AK1780_HMHFTDSXY_L4
25618_4	MCRGD008_CKDL200167244-1a-D701-AK1546_HMHFTDSXY_L4	MCRGD027_CKDL200167244-1a-D704-AK1682_HMHFTDSXY_L4
25618_5	MCRGD022_CKDL200167244-1a-DY0088-AK1544_HMHFTDSXY_L4	MCRGD065_CKDL200167244-1a-D709-AK1680_HMHFTDSXY_L4
25618_6	MCRGD039_CKDL200167244-1a-D705-AK1545_HMHFTDSXY_L4	MCRGD089_CKDL200167244-1a-D712-AK1680_HMHFTDSXY_L4
25618_7	MCRGD036_CKDL200167244-1a-D705-AK1780_HMHFTDSXY_L4	MCRGD075_CKDL200167244-1a-D710-AK1682_HMHFTDSXY_L4
25618_9	MCRGD019_CKDL200167244-1a-DY0088-AK1682_HMHFTDSXY_L4	MCRGD066_CKDL200167244-1a-D709-AK1681_HMHFTDSXY_L4
25625_10	MCRGD032_CKDL200167244-1a-D704-AK1546_HMHFTDSXY_L4	MCRGD071_CKDL200167244-1a-D709-AK1545_HMHFTDSXY_L4
25625_11	MCRGD051_CKDL200167244-1a-D707-AK1682_HMHFTDSXY_L4	MCRGD079_CKDL200167244-1a-D710-AK1545_HMHFTDSXY_L4
25625_8	MCRGD016_CKDL200167244-1a-D702-AK1546_HMHFTDSXY_L4	MCRGD037_CKDL200167244-1a-D705-AK1543_HMHFTDSXY_L4
25636_1	MCRGD006_CKDL200167244-1a-D701-AK1544_HMHFTDSXY_L4	MCRGD069_CKDL200167244-1a-D709-AK1543_HMHFTDSXY_L4
25636_2	MCRGD081_CKDL200167244-1a-D711-AK1680_HMHFTDSXY_L4	MCRGD082_CKDL200167244-1a-D711-AK1681_HMHFTDSXY_L4
25636_3	MCRGD029_CKDL200167244-1a-D704-AK1543_HMHFTDSXY_L4	MCRGD060_CKDL200167244-1a-D708-AK1780_HMHFTDSXY_L4
25636_4	MCRGD061_CKDL200167244-1a-D708-AK1543_HMHFTDSXY_L4	MCRGD083_CKDL200167244-1a-D711-AK1682_HMHFTDSXY_L4
25636_5	MCRGD035_CKDL200167244-1a-D705-AK1682_HMHFTDSXY_L4	MCRGD072_CKDL200167244-1a-D709-AK1546_HMHFTDSXY_L4
